Bi_grams,Frequency
"('DM_DMQ', 'RP_NEG')",3
"('QT_QTC', 'RP_NEG')",3
"('V_VAUX', 'CC_CCD')",3
"('', 'N_NN')",3
"('V_VM_VNG', 'N_NST')",3
"('RD_PUNC', 'RP_NEG')",3
"('CC_CCS_UT', 'DM_DMD')",3
"('NN', 'RD_SYM')",3
"('QT_QTF', 'QT_QTF')",3
"('CC_CCS_UT', 'N_NST')",3
"('N_NN', 'PR_PRQ')",2
"('DM_DMR', 'RD_SYM')",2
"('N_NST', 'CC_CCD')",2
"('QT_QTF', 'RP_RPD')",2
"('RB', 'V_VAUX')",2
"('DM_DMR', 'QT_QTO')",2
"('RP_NEG', 'RB')",2
"('DM_DMR', 'RP_RPD')",2
"('RP_CL', 'V_VM_VF')",2
"('N_NST', 'QT_QTO')",2
"('RP_INJ', 'N_NNP')",2
"('CC_CCS', 'DM_DMR')",2
"('V_VM_VF', 'PR_PRP')",2
"('RP_CL', 'V_VM_VNG')",2
"('JJ', 'PSP')",2
"('RP_RPD', 'QT_QTO')",2
"('V_VM_VINF', 'RD_SYM')",2
"('JJ', 'RD_SYM')",2
"('DM_DMD', 'QT_QTF')",2
"('V_VM_VNF', 'RP_CL')",2
"('V_VM_VINF', 'QT_QTO')",2
"('QT_QTO', 'JJ')",2
"('DM_DMD', 'RP_RPD')",2
"('CC_CCD', 'RD_UNK')",2
"('RP_INJ', 'DM_DMQ')",2
"('PR_PRP', 'PR_PRL')",2
"('DM_DMQ', 'V_VM_VINF')",2
"('V_VAUX', 'CC_CCS_UT')",2
"('RP_INTF', 'V_VM_VINF')",2
"('V_VM_VINF', 'CC_CCD')",2
"('V_VM_VNG', 'N_NNP')",2
"('V_VAUX', 'V_VM_VNF')",2
"('RP_INTF', 'RP_CL')",2
"('RP_CL', 'N_NNP')",2
"('N_NNP', 'RP_NEG')",2
"('PR_PRP', 'RP_NEG')",2
"('RD_SYM', 'QT_QTO')",2
"('QT_QTF', 'DM_DMQ')",2
"('QT_QTF', 'DM_DMR')",2
"('RD_SYM', 'RP_INTF')",2
"('V_VM_VNG', 'CC_CCS_UT')",2
"('V_VM_VF', 'CC_CCD')",2
"('DM_DMQ', 'N_NNP')",2
"('CC_CCS_UT', 'QT_QTF')",2
"('DM_DMQ', 'QT_QTF')",2
"('PR_PRL', 'DM_DMQ')",2
"('PR_PRL', 'RP_RPD')",2
"('PSP', 'QT_QTO')",2
"('JJ', 'CC_CCD')",2
"('RP_INJ', 'RP_INJ')",2
"('QT_QTO', 'PR_PRP')",2
"('CC_CCS_UT', 'RD_SYM')",2
"('DM_DMR', 'V_VM_VF')",2
"('N_NN', 'RP_CL')",2
"('NN', 'QT_QTC')",2
"('PR_PRQ', 'V_VM_VNF')",1
"('N_NN', 'V_VM_VFRD_PUNC')",1
"('PR_PRQ', 'N_NN')",1
"('DM_DMQ', 'CC_CCS')",1
"('RP_NEG', 'V_VM_VINF')",1
"('V_VM_VF', 'RD_SYM')",1
"('V_VM_VF', 'QT_QTC')",1
"('N_NN', 'V_VM_VNGRD_PUNC')",1
"('V_VAUX', 'JJ')",1
"('RD_PUNC', '_')",1
"('V_VM_VF', 'QT_QTF')",1
"('N_NN', 'PR_PRC')",1
"('PR_PRC', 'V_VM_VNG')",1
"('CC_CCS', 'RB')",1
"('V_VAUX', 'RB')",1
"('V_VM_VNG', 'CC_CCS')",1
"('RD_UNK', 'N_NNP')",1
"('CC_CCS', 'QT_QTF')",1
"('V_VM_VF', 'RP_RPD')",1
"('V_VM_VF', 'N_NST')",1
"('V_VM_VF', 'JJ')",1
"('PR_PRL', 'V_VM_VINF')",1
"('RP_INTF', 'RP_INTF')",1
"('CC_CCD', 'PR_PRPRD_PUNC')",1
"('RP_INTF', 'QT_QTC')",1
"('V_VM_VF', 'PSP')",1
"('JJ', 'RP_INTF')",1
"('QT_QTO', 'QT_QTC')",1
"('N_NNP', 'RD_UNK')",1
"('CC_CCS', 'RP_INTF')",1
"('RP_INTF', 'N_NNP')",1
"('JJ', 'QT_QTO')",1
"('RD_PUNC', 'RD_ECH')",1
"('RD_ECH', 'RD_PUNC')",1
"('DM_DMR', 'N_NNP')",1
"('QT_QTO', 'N_NNP')",1
"('V_VAUX', 'DM_DMQ')",1
"('RP_RPD', 'RP_NEG')",1
"('V_VM_VF', 'CC_CCS_UT')",1
"('DM_DMD', 'PSP')",1
"('V_VM_VINF', 'RP_NEG')",1
"('V_VAUX', 'QT_QTO')",1
"('V_VM_VNG', 'DM_DMR')",1
"('RP_RPD', 'V_VAUX')",1
"('RP_NEG', 'RP_NEG')",1
"('RP_NEG', 'RP_RPD')",1
"('CC_CCS', 'DM_DMD')",1
"('RP_NEG', 'DM_DMQ')",1
"('RP_CL', 'RB')",1
"('RP_CL', 'DM_DMD')",1
"('PR_PRL', 'V_VM_VNF')",1
"('CC_CCS', 'V_VM_VINF')",1
"('JJ', 'CC_CCS_UT')",1
"('CC_CCS_UT', 'DM_DMQ')",1
"('N_NST', 'CC_CCS')",1
"('CC_CCS', 'JJ')",1
"('RP_CL', 'DM_DMR')",1
"('QT_QTC', 'V_VM_VNG')",1
"('JJ', 'DM_DMQ')",1
"('PR_PRL', 'PR_PRP')",1
"('RP_CL', 'V_VM_VINF')",1
"('QT_QTF', 'RD_SYM')",1
"('RP_NEG', 'V_VM_VNG')",1
"('RD_SYM', 'RP_NEG')",1
"('V_VAUX', 'DM_DMR')",1
"('QT_QTC', 'N_NNPNN')",1
"('RD_UNK', 'QT_QTC')",1
"('', 'N_NNP')",1
"('N_NN', 'RP_NEGRD_PUNC')",1
"('PR_PRP', 'RD_UNK')",1
"('V_VM_VF', 'RD_UNK')",1
"('QT_QTC', 'RD_ECH')",1
"('RD_ECH', 'RP_NEG')",1
"('V_VM_VF', 'RP_INJ')",1
"('V_VM_VF', 'V_VAUX')",1
"('V_VAUX', 'RP_INTF')",1
"('RP_INTF', 'RD_PUNC')",1
"('V_VM_VNF', 'RD_ECH')",1
"('RD_ECH', 'V_VM_VNF')",1
"('V_VM_VNF', 'PR_PRL')",1
"('PR_PRL', 'DM_DMD')",1
"('RP_INTF', 'PR_PRP')",1
"('CC_CCD', 'RD_SYM')",1
"('DM_DMD', 'V_VM_VF')",1
"('DM_DMQ', 'RP_CL')",1
"('CC_CCS_UT', 'PSP')",1
"('QT_QTO', 'V_VM_VF')",1
"('RP_NEG', 'N_NST')",1
"('QT_QTO', 'PSP')",1
"('QT_QTO', 'V_VM_VINF')",1
"('RP_INTF', 'CC_CCS_UT')",1
"('N_NNP', 'QT_QTO')",1
"('CC_CCD', 'CC_CCS')",1
"('QT_QTC', 'CC_CCS')",1
"('QT_QTC', 'DM_DMQ')",1
"('DM_DMD', 'CC_CCS_UT')",1
"('DM_DMR', 'PSP')",1
"('DM_DMD', 'CC_CCD')",1
"('N_NNP', 'V_VM_VNG')",1
"('DM_DMQ', 'CC_CCS_UT')",1
"('RP_INJ', 'JJ')",1
"('RP_INTF', 'N_NST')",1
"('RD_SYM', 'RD_SYMRD_SYM')",1
"('PR_PRP', 'CC_CCS_UT')",1
"('V_VM_VNF', 'RP_INJ')",1
"('DM_DMD', 'V_VM_VNG')",1
"('RP_NEG', 'N_NNP')",1
"('QT_QTF', 'RP_NEG')",1
"('RP_NEG', 'RD_PC')",1
"('V_VAUX', 'V_VM_VINF')",1
"('PSP', 'CC_CCS')",1
"('NN', 'JJ')",1
"('NN', 'V_VM_VF')",1
"('RP_INJ', 'DM_DMR')",1
"('PR_PRL', 'JJ')",1
"('PSP', 'CC_CCS_UT')",1
"('NN', 'RB')",1
"('', 'RB')",1
"('RP_INJ', 'V_VM_VNF')",1
"('PR_PRL', 'N_NNP')",1
"('RP_INJ', 'PR_PRP')",1
