Four_grams,Frequency
"('DM_DMR', 'N_NN', 'V_VM_VNG', 'CC_CCD')",1
"('N_NN', 'V_VM_VNG', 'CC_CCD', 'V_VM_VF')",1
"('V_VM_VNG', 'CC_CCD', 'V_VM_VF', 'RD_PUNC')",1
"('CC_CCD', 'JJ', 'N_NN', 'RP_INTF')",1
"('CC_CCS_UT', 'N_NN', 'N_NN', 'V_VM_VINF')",1
"('N_NN', 'RB', 'DM_DMQ', 'QT_QTC')",1
"('RB', 'DM_DMQ', 'QT_QTC', 'N_NN')",1
"('QT_QTF', 'N_NN', 'QT_QTC', 'N_NN')",1
"('N_NN', 'N_NN', 'PR_PRP', 'DM_DMR')",1
"('N_NN', 'PR_PRP', 'DM_DMR', 'N_NN')",1
"('RD_SYM', 'N_NN', 'RD_SYM', 'RP_NEG')",1
"('N_NN', 'RD_SYM', 'RP_NEG', 'N_NN')",1
"('RD_SYM', 'RP_NEG', 'N_NN', 'JJ')",1
"('RP_NEG', 'N_NN', 'JJ', 'N_NN')",1
"('QT_QTC', 'N_NN', 'N_NST', 'RD_SYM')",1
"('N_NST', 'RD_SYM', 'N_NN', 'RD_SYM')",1
"('N_NN', 'RD_SYM', 'RB', 'V_VM_VF')",1
"('RD_SYM', 'RB', 'V_VM_VF', 'RD_PUNC')",1
"('RD_PUNC', 'N_NN', 'RD_SYM', 'QT_QTC')",1
"('N_NST', 'N_NN', 'PSP', 'RD_PUNC')",1
"('N_NN', 'PSP', 'RD_PUNC', 'N_NST')",1
"('PSP', 'RD_PUNC', 'N_NST', 'V_VM_VF')",1
"('RD_SYM', 'QT_QTC', 'RD_PUNC', 'N_NNP')",1
"('RD_PUNC', 'N_NST', 'QT_QTC', 'PSP')",1
"('PSP', 'QT_QTC', 'PSP', 'V_VM_VINF')",1
"('PSP', 'V_VM_VINF', 'N_NN', 'V_VM_VINF')",1
"('V_VM_VINF', 'N_NST', 'RD_PUNC', 'QT_QTC')",1
"('N_NNP', 'QT_QTC', 'RD_SYM', 'N_NNP')",1
"('QT_QTF', 'V_VM_VNF', 'V_VM_VNF', 'V_VAUX')",1
"('V_VAUX', 'N_NN', 'RD_PUNC', 'N_NN')",1
"('RD_SYM', 'N_NN', 'N_NST', 'V_VM_VF')",1
"('N_NN', 'QT_QTC', 'RD_SYM', 'N_NNP')",1
"('N_NNP', 'RD_SYM', 'RD_PUNC', 'N_NN')",1
"('QT_QTC', 'RD_PUNC', 'RP_RPD', 'JJ')",1
"('PR_PRP', 'QT_QTF', 'N_NST', 'V_VM_VF')",1
"('PR_PRP', 'N_NN', 'RD_PUNC', 'JJ')",1
"('V_VM_VINF', 'JJ', 'N_NN', 'RP_INTF')",1
"('V_VM_VNF', 'RD_PUNC', 'N_NST', 'RD_PUNC')",1
"('RD_PUNC', 'N_NST', 'RD_PUNC', 'QT_QTC')",1
"('N_NN', 'QT_QTC', 'RP_NEG', 'N_NN')",1
"('QT_QTC', 'RP_NEG', 'N_NN', 'QT_QTC')",1
"('RP_NEG', 'N_NN', 'QT_QTC', 'RP_NEG')",1
"('N_NN', 'QT_QTC', 'RP_NEG', 'QT_QTC')",1
"('QT_QTC', 'RP_NEG', 'QT_QTC', 'N_NN')",1
"('RP_NEG', 'QT_QTC', 'N_NN', 'QT_QTC')",1
"('DM_DMQ', 'N_NN', 'RD_PUNC', 'PR_PRP')",1
"('QT_QTC', 'RD_PUNC', 'JJ', 'JJ')",1
"('V_VM_VNF', 'RD_PUNC', 'DM_DMQ', 'DM_DMQ')",1
"('RD_PUNC', 'DM_DMQ', 'DM_DMQ', 'V_VM_VNF')",1
"('N_NN', 'PR_PRP', 'N_NST', 'V_VM_VNG')",1
"('PR_PRP', 'N_NST', 'V_VM_VNG', 'V_VM_VNF')",1
"('N_NST', 'V_VM_VNG', 'V_VM_VNF', 'V_VAUX')",1
"('N_NN', 'QT_QTC', 'V_VM_VNF', 'PR_PRP')",1
"('QT_QTC', 'V_VM_VNF', 'PR_PRP', 'N_NN')",1
"('N_NN', 'RB', 'PSP', 'RD_PUNC')",1
"('RB', 'PSP', 'RD_PUNC', 'RB')",1
"('PSP', 'RD_PUNC', 'RB', 'V_VM_VF')",1
"('N_NN', 'QT_QTC', 'QT_QTC', 'CC_CCD')",1
"('N_NST', 'N_NN', 'QT_QTC', 'RD_SYM')",1
"('CC_CCD', 'DM_DMD', 'N_NN', 'QT_QTF')",1
"('N_NN', 'N_NN', 'QT_QTC', 'V_VM_VINF')",1
"('N_NN', 'QT_QTC', 'V_VM_VINF', 'N_NST')",1
"('QT_QTC', 'V_VM_VINF', 'N_NST', 'V_VM_VF')",1
"('V_VM_VNF', 'N_NN', 'QT_QTC', 'V_VM_VNF')",1
"('V_VAUX', 'RD_PUNC', 'RB', 'N_NN')",1
"('V_VM_VNF', 'V_VAUX', 'CC_CCD', 'RB')",1
"('V_VAUX', 'CC_CCD', 'RB', 'RD_PUNC')",1
"('CC_CCD', 'RB', 'RD_PUNC', 'RB')",1
"('RB', 'RD_PUNC', 'RB', 'RP_RPD')",1
"('RD_PUNC', 'RB', 'RP_RPD', 'V_VM_VF')",1
"('V_VM_VINF', 'PR_PRP', 'N_NNP', 'QT_QTC')",1
"('N_NN', 'V_VM_VNF', 'V_VAUX', 'DM_DMR')",1
"('V_VM_VNF', 'V_VAUX', 'DM_DMR', 'N_NN')",1
"('V_VAUX', 'DM_DMR', 'N_NN', 'V_VM_VF')",1
"('DM_DMQ', 'RD_PUNC', 'N_NN', 'V_VM_VF')",1
"('V_VM_VNF', 'PSP', 'N_NN', 'V_VM_VNF')",1
"('N_NN', 'V_VM_VNF', 'DM_DMR', 'JJ')",1
"('PSP', 'N_NN', 'JJ', 'JJ')",1
"('JJ', 'N_NN', 'V_VM_VINF', 'RD_PUNC')",1
"('QT_QTC', 'RD_PUNC', 'N_NN', 'RP_INTF')",1
"('N_NN', 'N_NN', 'RD_SYM', 'RB')",1
"('RD_SYM', 'RB', 'V_VM_VNF', 'RD_PUNC')",1
"('JJ', 'N_NN', 'V_VM_VNG', 'PSP')",1
"('QT_QTC', 'N_NN', 'RB', 'RD_PUNC')",1
"('RB', 'RD_PUNC', 'QT_QTC', 'N_NN')",1
"('V_VM_VNF', 'RP_INTF', 'V_VM_VNF', 'V_VAUX')",1
"('V_VM_VNF', 'N_NN', 'N_NST', 'N_NST')",1
"('N_NST', 'N_NST', 'V_VM_VNF', 'PR_PRP')",1
"('V_VM_VNG', 'QT_QTF', 'N_NN', 'RP_NEG')",1
"('N_NN', 'RD_SYM', 'RB', 'RP_NEG')",1
"('RD_SYM', 'RB', 'RP_NEG', 'RD_PUNC')",1
"('RB', 'RP_NEG', 'V_VM_VNF', 'RD_SYM')",1
"('RP_NEG', 'V_VM_VNF', 'RD_SYM', 'QT_QTC')",1
"('DM_DMQ', 'N_NN', 'N_NST', 'N_NST')",1
"('N_NST', 'N_NST', 'V_VM_VNF', 'V_VM_VNF')",1
"('N_NN', 'V_VM_VINF', 'RD_PUNC', 'N_NST')",1
"('V_VM_VINF', 'RD_PUNC', 'N_NST', 'RB')",1
"('RD_PUNC', 'N_NST', 'RB', 'V_VM_VINF')",1
"('N_NST', 'RB', 'V_VM_VINF', 'RD_PUNC')",1
"('RB', 'RD_PUNC', 'RB', 'RB')",1
"('V_VM_VNF', 'RP_RPD', 'N_NN', 'RB')",1
"('PSP', 'N_NN', 'V_VM_VINF', 'RD_PUNC')",1
"('PR_PRP', 'RB', 'V_VM_VINF', 'RD_PUNC')",1
"('N_NNP', 'QT_QTC', 'RD_PUNC', 'QT_QTC')",1
"('JJ', 'N_NN', 'PSP', 'RP_NEG')",1
"('PSP', 'RP_NEG', 'N_NN', 'N_NN')",1
"('V_VM_VNF', 'RD_PUNC', 'CC_CCD', 'V_VM_VINF')",1
"('RD_PUNC', 'CC_CCD', 'V_VM_VINF', 'N_NN')",1
"('N_NN', 'V_VM_VINF', 'RD_PUNC', 'DM_DMQ')",1
"('V_VM_VINF', 'RD_PUNC', 'DM_DMQ', 'N_NN')",1
"('V_VM_VINF', 'N_NN', 'V_VM_VINF', 'RD_PUNC')",1
"('RD_PUNC', 'N_NN', 'QT_QTC', 'N_NNPNN')",1
"('V_VM_VNF', 'N_NN', 'QT_QTC', 'CC_CCD')",1
"('V_VM_VINF', 'QT_QTF', 'N_NN', 'N_NST')",1
"('V_VM_VNF', 'RP_NEG', 'RD_PUNC', 'DM_DMD')",1
"('RP_NEG', 'RD_PUNC', 'DM_DMD', 'RB')",1
"('RD_PUNC', 'DM_DMD', 'RB', 'N_NN')",1
"('DM_DMD', 'RB', 'N_NN', 'RP_NEG')",1
"('RB', 'N_NN', 'RP_NEG', 'V_VM_VF')",1
"('', 'N_NN', 'RD_PUNC', 'N_NN')",1
"('N_NN', 'CC_CCD', 'N_NN', 'RD_UNK')",1
"('CC_CCD', 'N_NN', 'RD_UNK', 'RD_UNK')",1
"('N_NN', 'RD_UNK', 'RD_UNK', 'RD_UNK')",1
"('', 'N_NN', 'N_NN', 'CC_CCD')",1
"('N_NN', 'N_NN', 'CC_CCD', 'RD_UNK')",1
"('N_NN', 'CC_CCD', 'RD_UNK', 'QT_QTC')",1
"('CC_CCD', 'RD_UNK', 'QT_QTC', 'RD_PUNC')",1
"('V_VM_VNF', 'N_NN', 'RP_NEG', 'N_NN')",1
"('N_NN', 'RP_NEG', 'N_NN', 'QT_QTC')",1
"('RP_NEG', 'N_NN', 'QT_QTC', 'N_NN')",1
"('N_NN', 'V_VM_VNG', 'N_NN', 'N_NNP')",1
"('V_VM_VNG', 'N_NN', 'N_NNP', 'N_NNP')",1
"('RB', 'N_NN', 'V_VM_VNF', 'RP_INTF')",1
"('V_VM_VNF', 'RP_INTF', 'N_NN', 'V_VM_VINF')",1
"('RP_INTF', 'N_NN', 'V_VM_VINF', 'JJ')",1
"('RB', 'V_VM_VNF', 'N_NST', 'N_NST')",1
"('N_NST', 'N_NST', 'V_VM_VNF', 'RB')",1
"('JJ', 'N_NN', 'PSP', 'N_NST')",1
"('', 'N_NN', 'N_NN', 'N_NN')",1
"('N_NN', 'RB', 'V_VM_VINF', 'DM_DMR')",1
"('RB', 'V_VM_VINF', 'DM_DMR', 'N_NN')",1
"('N_NST', 'N_NST', 'N_NN', 'N_NN')",1
"('', 'N_NNP', 'N_NNP', 'N_NN')",1
"('N_NNP', 'V_VM_VINF', 'N_NN', 'PSP')",1
"('V_VM_VINF', 'N_NN', 'PSP', 'QT_QTF')",1
"('RB', 'RB', 'V_VM_VNG', 'RB')",1
"('RB', 'V_VM_VNG', 'RB', 'N_NN')",1
"('V_VM_VNG', 'RB', 'N_NN', 'N_NST')",1
"('QT_QTF', 'RB', 'V_VM_VNF', 'N_NN')",1
"('N_NN', 'PSP', 'RB', 'V_VM_VNG')",1
"('RB', 'V_VM_VNG', 'N_NN', 'DM_DMQ')",1
"('V_VM_VNG', 'N_NN', 'DM_DMQ', 'N_NN')",1
"('DM_DMQ', 'N_NN', 'N_NN', 'RP_NEGRD_PUNC')",1
"('V_VM_VNF', 'N_NN', 'V_VM_VNG', 'CC_CCS_UT')",1
"('N_NN', 'V_VM_VNG', 'CC_CCS_UT', 'N_NN')",1
"('V_VM_VNG', 'CC_CCS_UT', 'N_NN', 'N_NN')",1
"('CC_CCS_UT', 'N_NN', 'N_NN', 'V_VM_VNG')",1
"('JJ', 'N_NST', 'V_VM_VNF', 'N_NN')",1
"('V_VM_VNF', 'N_NN', 'V_VM_VNG', 'RB')",1
"('N_NN', 'V_VM_VNG', 'RB', 'V_VM_VF')",1
"('DM_DMQ', 'N_NN', 'RD_PUNC', 'JJ')",1
"('JJ', 'N_NN', 'CC_CCD', 'DM_DMD')",1
"('N_NN', 'RD_PUNC', 'V_VM_VNF', 'RP_NEG')",1
"('V_VM_VNF', 'N_NN', 'DM_DMD', 'RD_PUNC')",1
"('N_NN', 'DM_DMD', 'RD_PUNC', 'N_NN')",1
"('QT_QTF', 'N_NN', 'V_VM_VF', 'CC_CCD')",1
"('N_NN', 'V_VM_VF', 'CC_CCD', 'RD_PUNC')",1
"('V_VM_VF', 'CC_CCD', 'RD_PUNC', 'DM_DMD')",1
"('RP_RPD', 'PR_PRP', 'N_NST', 'PR_PRP')",1
"('PR_PRP', 'N_NST', 'PR_PRP', 'V_VM_VNF')",1
"('PR_PRP', 'V_VM_VNF', 'N_NN', 'N_NNP')",1
"('N_NN', 'RD_PUNC', 'V_VM_VNF', 'PSP')",1
"('V_VM_VNF', 'PSP', 'N_NN', 'N_NNP')",1
"('PSP', 'N_NN', 'N_NNP', 'PR_PRP')",1
"('N_NN', 'N_NNP', 'PR_PRP', 'N_NNP')",1
"('N_NNP', 'PR_PRP', 'N_NNP', 'QT_QTC')",1
"('RD_PUNC', 'N_NN', 'PR_PRP', 'RD_UNK')",1
"('N_NN', 'PR_PRP', 'RD_UNK', 'N_NN')",1
"('PR_PRP', 'RD_UNK', 'N_NN', 'V_VM_VF')",1
"('RD_UNK', 'N_NN', 'V_VM_VF', 'RD_UNK')",1
"('N_NN', 'V_VM_VF', 'RD_UNK', 'N_NN')",1
"('V_VM_VF', 'RD_UNK', 'N_NN', 'N_NN')",1
"('RD_UNK', 'N_NN', 'N_NN', 'N_NNP')",1
"('N_NN', 'N_NN', 'N_NNP', 'RP_RPD')",1
"('N_NN', 'N_NNP', 'RP_RPD', 'N_NN')",1
"('N_NNP', 'RP_RPD', 'N_NN', 'N_NNP')",1
"('CC_CCD', 'CC_CCD', 'N_NN', 'RD_PUNC')",1
"('N_NN', 'QT_QTC', 'RD_ECH', 'RP_NEG')",1
"('QT_QTC', 'RD_ECH', 'RP_NEG', 'RD_PUNC')",1
"('RD_ECH', 'RP_NEG', 'RD_PUNC', 'N_NST')",1
"('RP_NEG', 'RD_PUNC', 'N_NST', 'DM_DMQ')",1
"('N_NST', 'DM_DMQ', 'N_NN', 'PR_PRP')",1
"('DM_DMQ', 'V_VM_VNF', 'V_VM_VNF', 'N_NST')",1
"('N_NN', 'V_VM_VNF', 'N_NNP', 'QT_QTF')",1
"('V_VM_VNF', 'N_NNP', 'QT_QTF', 'RP_CL')",1
"('N_NNP', 'QT_QTF', 'RP_CL', 'N_NN')",1
"('N_NN', 'N_NN', 'DM_DMQ', 'N_NNP')",1
"('N_NN', 'DM_DMQ', 'N_NNP', 'N_NN')",1
"('DM_DMQ', 'N_NNP', 'N_NN', 'V_VM_VINF')",1
"('DM_DMR', 'N_NST', 'QT_QTF', 'N_NN')",1
"('N_NST', 'QT_QTF', 'N_NN', 'PSP')",1
"('QT_QTF', 'N_NN', 'PSP', 'RP_RPD')",1
"('N_NN', 'PSP', 'RP_RPD', 'V_VM_VNF')",1
"('PSP', 'RP_RPD', 'V_VM_VNF', 'V_VAUX')",1
"('V_VM_VNF', 'V_VM_VNF', 'N_NN', 'RP_RPD')",1
"('V_VM_VINF', 'N_NN', 'V_VM_VF', 'RP_INJ')",1
"('N_NN', 'V_VM_VF', 'RP_INJ', 'RD_PUNC')",1
"('V_VM_VF', 'RP_INJ', 'RD_PUNC', 'N_NN')",1
"('V_VM_VINF', 'N_NN', 'V_VM_VF', 'V_VAUX')",1
"('N_NN', 'V_VM_VF', 'V_VAUX', 'RD_PUNC')",1
"('V_VM_VF', 'V_VAUX', 'RD_PUNC', 'DM_DMD')",1
"('JJ', 'N_NN', 'RB', 'RD_PUNC')",1
"('N_NN', 'V_VM_VNG', 'RP_RPD', 'N_NNP')",1
"('V_VM_VNG', 'RP_RPD', 'N_NNP', 'N_NN')",1
"('RP_RPD', 'N_NNP', 'N_NN', 'QT_QTC')",1
"('N_NNP', 'N_NN', 'QT_QTC', 'V_VM_VF')",1
"('RB', 'QT_QTC', 'N_NN', 'PSP')",1
"('N_NN', 'N_NN', 'PSP', 'V_VM_VNG')",1
"('N_NN', 'PSP', 'V_VM_VNG', 'CC_CCS_UT')",1
"('PSP', 'V_VM_VNG', 'CC_CCS_UT', 'QT_QTF')",1
"('V_VM_VNG', 'CC_CCS_UT', 'QT_QTF', 'RB')",1
"('CC_CCS_UT', 'QT_QTF', 'RB', 'DM_DMQ')",1
"('QT_QTF', 'RB', 'DM_DMQ', 'V_VM_VNF')",1
"('RB', 'DM_DMQ', 'V_VM_VNF', 'QT_QTC')",1
"('DM_DMQ', 'V_VM_VNF', 'QT_QTC', 'N_NN')",1
"('N_NN', 'V_VM_VNF', 'V_VAUX', 'RP_INTF')",1
"('V_VM_VNF', 'V_VAUX', 'RP_INTF', 'RD_PUNC')",1
"('V_VAUX', 'RP_INTF', 'RD_PUNC', 'RB')",1
"('RP_INTF', 'RD_PUNC', 'RB', 'RB')",1
"('RB', 'N_NN', 'V_VM_VNF', 'RD_ECH')",1
"('N_NN', 'V_VM_VNF', 'RD_ECH', 'V_VM_VNF')",1
"('V_VM_VNF', 'RD_ECH', 'V_VM_VNF', 'V_VM_VNF')",1
"('RD_ECH', 'V_VM_VNF', 'V_VM_VNF', 'V_VM_VNF')",1
"('V_VM_VNF', 'V_VM_VNF', 'CC_CCD', 'V_VM_VNF')",1
"('CC_CCD', 'V_VM_VNF', 'N_NN', 'V_VM_VNG')",1
"('V_VM_VNF', 'N_NN', 'V_VM_VNG', 'RP_RPD')",1
"('V_VM_VNG', 'RP_RPD', 'QT_QTC', 'V_VM_VF')",1
"('RP_RPD', 'QT_QTC', 'V_VM_VF', 'RD_PUNC')",1
"('QT_QTC', 'V_VM_VF', 'RD_PUNC', 'N_NST')",1
"('V_VM_VF', 'RD_PUNC', 'N_NST', 'N_NN')",1
"('N_NN', 'RP_RPD', 'V_VM_VNG', 'V_VM_VF')",1
"('RP_RPD', 'V_VM_VNG', 'V_VM_VF', 'RD_PUNC')",1
"('N_NN', 'V_VM_VINF', 'RB', 'V_VM_VNG')",1
"('V_VM_VINF', 'RB', 'V_VM_VNG', 'N_NN')",1
"('RB', 'V_VM_VNG', 'N_NN', 'N_NN')",1
"('PR_PRP', 'N_NN', 'V_VM_VNG', 'N_NST')",1
"('N_NN', 'V_VM_VNG', 'N_NST', 'N_NN')",1
"('V_VM_VNG', 'N_NST', 'N_NN', 'DM_DMQ')",1
"('N_NST', 'N_NN', 'DM_DMQ', 'RP_NEG')",1
"('N_NST', 'N_NN', 'RD_PUNC', 'PR_PRP')",1
"('PR_PRP', 'RD_PUNC', 'N_NST', 'V_VM_VNF')",1
"('N_NST', 'V_VM_VNF', 'RD_PUNC', 'DM_DMQ')",1
"('V_VM_VNF', 'JJ', 'JJ', 'JJ')",1
"('JJ', 'JJ', 'N_NN', 'DM_DMD')",1
"('JJ', 'N_NN', 'DM_DMD', 'RD_PUNC')",1
"('N_NN', 'DM_DMD', 'RD_PUNC', 'PR_PRP')",1
"('DM_DMD', 'RD_PUNC', 'PR_PRP', 'RD_PUNC')",1
"('PR_PRP', 'RD_PUNC', 'N_NST', 'QT_QTF')",1
"('RD_PUNC', 'N_NST', 'QT_QTF', 'JJ')",1
"('N_NST', 'QT_QTF', 'JJ', 'N_NN')",1
"('RD_PUNC', 'QT_QTF', 'PR_PRP', 'RD_PUNC')",1
"('QT_QTF', 'PR_PRP', 'RD_PUNC', 'N_NN')",1
"('PR_PRP', 'RD_PUNC', 'N_NN', 'PSP')",1
"('RD_PUNC', 'N_NN', 'PSP', 'DM_DMQ')",1
"('N_NN', 'PSP', 'DM_DMQ', 'V_VM_VNF')",1
"('PSP', 'DM_DMQ', 'V_VM_VNF', 'N_NN')",1
"('PR_PRP', 'V_VM_VF', 'PR_PRP', 'V_VM_VF')",1
"('V_VM_VF', 'PR_PRP', 'V_VM_VF', 'CC_CCD')",1
"('PR_PRP', 'V_VM_VF', 'CC_CCD', 'RD_PUNC')",1
"('V_VM_VF', 'CC_CCD', 'RD_PUNC', 'V_VM_VINF')",1
"('N_NN', 'QT_QTC', 'JJ', 'V_VM_VNF')",1
"('QT_QTC', 'JJ', 'V_VM_VNF', 'RB')",1
"('JJ', 'V_VM_VNF', 'RB', 'PR_PRP')",1
"('V_VM_VNF', 'V_VM_VNF', 'RD_PUNC', 'V_VM_VNG')",1
"('V_VM_VNF', 'RD_PUNC', 'V_VM_VNG', 'N_NN')",1
"('V_VM_VNG', 'N_NN', 'V_VM_VNF', 'RP_CL')",1
"('PR_PRP', 'DM_DMQ', 'QT_QTC', 'N_NN')",1
"('RB', 'N_NN', 'N_NN', 'DM_DMQ')",1
"('RD_PUNC', 'DM_DMD', 'N_NST', 'DM_DMD')",1
"('DM_DMD', 'N_NST', 'DM_DMD', 'N_NN')",1
"('N_NST', 'DM_DMD', 'N_NN', 'QT_QTF')",1
"('N_NN', 'N_NN', 'RP_RPD', 'CC_CCD')",1
"('N_NN', 'RP_RPD', 'CC_CCD', 'N_NN')",1
"('RP_RPD', 'CC_CCD', 'N_NN', 'V_VM_VINF')",1
"('DM_DMQ', 'JJ', 'N_NN', 'V_VM_VF')",1
"('V_VM_VNF', 'N_NN', 'RP_RPD', 'N_NST')",1
"('RP_RPD', 'N_NST', 'N_NN', 'V_VM_VF')",1
"('N_NN', 'RD_PUNC', 'V_VM_VNF', 'N_NST')",1
"('N_NST', 'N_NN', 'V_VM_VNF', 'RP_INTF')",1
"('JJ', 'N_NN', 'RP_INTF', 'JJ')",1
"('V_VM_VINF', 'DM_DMD', 'N_NN', 'JJ')",1
"('N_NST', 'N_NNP', 'RD_PUNC', 'N_NST')",1
"('N_NN', 'N_NN', 'V_VM_VNF', 'PR_PRL')",1
"('N_NN', 'V_VM_VNF', 'PR_PRL', 'DM_DMD')",1
"('V_VM_VNF', 'PR_PRL', 'DM_DMD', 'N_NN')",1
"('PR_PRL', 'DM_DMD', 'N_NN', 'V_VM_VNF')",1
"('N_NNP', 'PSP', 'N_NNP', 'V_VM_VINF')",1
"('V_VM_VINF', 'N_NN', 'RP_RPD', 'RP_INTF')",1
"('N_NN', 'RP_RPD', 'RP_INTF', 'PR_PRP')",1
"('RP_RPD', 'RP_INTF', 'PR_PRP', 'PR_PRP')",1
"('RP_INTF', 'PR_PRP', 'PR_PRP', 'N_NN')",1
"('N_NN', 'JJ', 'N_NN', 'QT_QTF')",1
"('QT_QTF', 'JJ', 'N_NN', 'JJ')",1
"('JJ', 'N_NN', 'JJ', 'RD_PUNC')",1
"('QT_QTF', 'RP_CL', 'N_NN', 'RP_INTF')",1
"('RP_CL', 'N_NN', 'RP_INTF', 'N_NN')",1
"('V_VM_VNF', 'RB', 'V_VM_VINF', 'RB')",1
"('RB', 'V_VM_VINF', 'RB', 'V_VM_VNF')",1
"('RB', 'RD_PUNC', 'RB', 'V_VM_VINF')",1
"('RD_PUNC', 'V_VM_VNF', 'N_NN', 'DM_DMQ')",1
"('V_VM_VNG', 'V_VM_VNF', 'N_NN', 'RP_RPD')",1
"('N_NN', 'RP_RPD', 'N_NN', 'V_VM_VNG')",1
"('RP_RPD', 'N_NN', 'V_VM_VNG', 'V_VM_VF')",1
"('CC_CCD', 'RD_PUNC', 'N_NST', 'V_VM_VINF')",1
"('RB', 'V_VM_VNF', 'V_VAUX', 'PSP')",1
"('V_VM_VNF', 'V_VAUX', 'PSP', 'N_NN')",1
"('V_VAUX', 'PSP', 'N_NN', 'RD_PUNC')",1
"('RB', 'V_VM_VNG', 'RD_PUNC', 'DM_DMQ')",1
"('V_VM_VNG', 'RD_PUNC', 'DM_DMQ', 'V_VM_VNF')",1
"('RD_PUNC', 'PSP', 'RD_PUNC', 'JJ')",1
"('N_NN', 'RD_PUNC', 'V_VM_VNG', 'PSP')",1
"('RD_PUNC', 'PSP', 'RB', 'N_NN')",1
"('PR_PRP', 'PSP', 'N_NN', 'PR_PRP')",1
"('DM_DMR', 'RB', 'RD_PUNC', 'RD_PUNC')",1
"('PR_PRP', 'DM_DMR', 'N_NN', 'DM_DMR')",1
"('DM_DMR', 'N_NN', 'DM_DMR', 'N_NST')",1
"('N_NST', 'N_NN', 'QT_QTF', 'RB')",1
"('N_NST', 'N_NST', 'PSP', 'N_NN')",1
"('N_NN', 'PSP', 'RD_PUNC', 'V_VM_VNF')",1
"('PSP', 'RD_PUNC', 'V_VM_VNF', 'CC_CCD')",1
"('V_VM_VNF', 'CC_CCD', 'N_NN', 'N_NST')",1
"('PR_PRP', 'QT_QTF', 'RB', 'N_NN')",1
"('QT_QTF', 'RB', 'N_NN', 'V_VM_VNF')",1
"('N_NN', 'V_VM_VNG', 'RB', 'N_NN')",1
"('V_VM_VNG', 'RB', 'N_NN', 'V_VM_VF')",1
"('JJ', 'N_NN', 'V_VM_VNF', 'V_VM_VNG')",1
"('V_VM_VNF', 'V_VM_VNG', 'RP_RPD', 'N_NST')",1
"('V_VM_VNG', 'RP_RPD', 'N_NST', 'V_VM_VF')",1
"('RP_RPD', 'N_NST', 'V_VM_VF', 'RD_PUNC')",1
"('N_NNP', 'RD_PUNC', 'N_NNP', 'N_NST')",1
"('RD_PUNC', 'V_VM_VINF', 'N_NN', 'RB')",1
"('V_VAUX', 'RD_PUNC', 'RB', 'QT_QTC')",1
"('RD_PUNC', 'CC_CCS', 'N_NN', 'V_VM_VNF')",1
"('N_NST', 'V_VM_VINF', 'DM_DMR', 'N_NN')",1
"('DM_DMR', 'N_NN', 'CC_CCD', 'JJ')",1
"('N_NN', 'DM_DMR', 'N_NN', 'DM_DMQ')",1
"('CC_CCD', 'RD_PUNC', 'PR_PRP', 'DM_DMR')",1
"('RD_PUNC', 'PR_PRP', 'DM_DMR', 'N_NN')",1
"('N_NN', 'N_NST', 'PR_PRP', 'RB')",1
"('N_NST', 'PR_PRP', 'RB', 'V_VM_VF')",1
"('RD_PUNC', 'CC_CCS_UT', 'N_NN', 'RP_NEG')",1
"('N_NNP', 'RD_PUNC', 'N_NN', 'DM_DMQ')",1
"('RD_PUNC', 'N_NN', 'DM_DMQ', 'DM_DMQ')",1
"('N_NN', 'DM_DMQ', 'DM_DMQ', 'N_NN')",1
"('DM_DMQ', 'DM_DMQ', 'N_NN', 'N_NN')",1
"('RD_PUNC', 'N_NN', 'QT_QTF', 'RD_PUNC')",1
"('QT_QTF', 'RD_PUNC', 'N_NN', 'V_VM_VNF')",1
"('V_VM_VNF', 'N_NN', 'QT_QTF', 'RD_PUNC')",1
"('QT_QTF', 'RD_PUNC', 'N_NN', 'N_NST')",1
"('QT_QTF', 'RD_PUNC', 'PR_PRP', 'V_VM_VNF')",1
"('RD_PUNC', 'PR_PRP', 'V_VM_VNF', 'DM_DMR')",1
"('PSP', 'V_VM_VINF', 'N_NN', 'RP_RPD')",1
"('DM_DMR', 'RB', 'N_NN', 'RP_INTF')",1
"('RB', 'N_NN', 'RP_INTF', 'QT_QTF')",1
"('RP_INTF', 'QT_QTF', 'N_NN', 'V_VM_VNG')",1
"('V_VM_VNF', 'N_NN', 'V_VM_VNG', 'QT_QTF')",1
"('N_NN', 'V_VM_VNG', 'QT_QTF', 'V_VM_VF')",1
"('V_VM_VNG', 'QT_QTF', 'V_VM_VF', 'RD_PUNC')",1
"('PR_PRP', 'V_VM_VNF', 'PR_PRP', 'DM_DMD')",1
"('RB', 'RP_RPD', 'V_VM_VNF', 'V_VM_VF')",1
"('PR_PRP', 'N_NN', 'JJ', 'JJ')",1
"('N_NN', 'RD_PUNC', 'RP_RPD', 'PR_PRP')",1
"('RD_PUNC', 'RP_RPD', 'PR_PRP', 'N_NN')",1
"('V_VM_VNF', 'PR_PRP', 'PSP', 'RB')",1
"('N_NST', 'PSP', 'RB', 'V_VM_VNF')",1
"('V_VM_VNF', 'RD_PUNC', 'N_NST', 'RB')",1
"('PR_PRP', 'QT_QTF', 'N_NN', 'PSP')",1
"('DM_DMQ', 'N_NN', 'V_VM_VNG', 'V_VM_VNF')",1
"('V_VM_VNG', 'V_VM_VNF', 'N_NN', 'PR_PRP')",1
