,Tri_grams,Frequency
313,"('V_VM_VINF', 'N_NN', 'RB')",42
314,"('N_NN', 'V_VM_VNG', 'PSP')",42
315,"('RD_PUNC', 'N_NNP', 'QT_QTC')",42
316,"('N_NN', 'RB', 'RD_PUNC')",42
317,"('RP_INTF', 'JJ', 'N_NN')",42
318,"('RD_PUNC', 'RD_PUNC', 'RD_SYM')",42
319,"('QT_QTO', 'N_NN', 'N_NN')",41
320,"('JJ', 'N_NN', 'JJ')",41
321,"('QT_QTC', 'N_NN', 'N_NST')",41
322,"('RB', 'V_VM_VNF', 'V_VM_VF')",41
323,"('V_VM_VNF', 'N_NNP', 'RD_PUNC')",41
324,"('QT_QTC', 'PSP', 'QT_QTC')",40
325,"('JJ', 'N_NN', 'V_VM_VINF')",40
326,"('N_NN', 'V_VM_VNG', 'V_VM_VF')",40
327,"('PR_PRP', 'V_VM_VNF', 'PR_PRP')",40
328,"('RP_RPD', 'JJ', 'N_NN')",40
329,"('V_VM_VNF', 'RD_PUNC', 'JJ')",40
330,"('PSP', 'V_VM_VINF', 'N_NN')",40
331,"('RD_PUNC', 'QT_QTF', 'N_NN')",40
332,"('PR_PRP', 'DM_DMD', 'N_NN')",40
333,"('V_VM_VNF', 'DM_DMQ', 'N_NN')",40
334,"('RD_PUNC', 'PR_PRP', 'PR_PRP')",40
335,"('QT_QTC', 'V_VM_VF', 'RD_PUNC')",39
336,"('N_NN', 'RD_PUNC', 'DM_DMD')",39
337,"('N_NN', 'RP_RPD', 'V_VM_VNF')",39
338,"('DM_DMR', 'N_NN', 'V_VM_VF')",39
339,"('PR_PRP', 'RB', 'V_VM_VF')",39
340,"('N_NNP', 'PR_PRP', 'N_NN')",39
341,"('N_NNP', 'RD_PUNC', 'CC_CCD')",39
342,"('V_VM_VINF', 'QT_QTC', 'N_NN')",39
343,"('RD_PUNC', 'RB', 'N_NN')",38
344,"('JJ', 'N_NN', 'RB')",38
345,"('N_NN', 'PSP', 'RB')",38
346,"('QT_QTC', 'N_NN', 'PR_PRP')",38
347,"('N_NST', 'JJ', 'N_NN')",38
348,"('RD_SYM', 'RD_SYM', 'RD_SYM')",38
349,"('QT_QTC', 'RD_PUNC', 'V_VM_VNF')",37
350,"('PR_PRP', 'N_NST', 'N_NN')",37
351,"('N_NN', 'PR_PRP', 'RD_PUNC')",37
352,"('N_NN', 'RP_RPD', 'RD_PUNC')",37
353,"('RD_PUNC', 'RB', 'V_VM_VF')",37
354,"('RD_PUNC', 'CC_CCS_UT', 'N_NN')",37
355,"('RD_PUNC', 'QT_QTC', 'QT_QTC')",37
356,"('V_VM_VINF', 'JJ', 'N_NN')",36
357,"('RD_PUNC', 'N_NN', 'V_VM_VNG')",36
358,"('RD_SYM', 'N_NNP', 'N_NN')",36
359,"('PR_PRP', 'RB', 'N_NN')",36
360,"('V_VM_VNF', 'RP_RPD', 'N_NN')",36
361,"('V_VM_VNF', 'CC_CCD', 'N_NN')",36
362,"('PR_PRP', 'N_NN', 'RP_RPD')",36
363,"('N_NN', 'PSP', 'V_VM_VINF')",36
364,"('V_VM_VNF', 'N_NN', 'N_NNP')",36
365,"('N_NN', 'CC_CCS_UT', 'N_NN')",36
366,"('N_NN', 'JJ', 'RD_PUNC')",36
367,"('RD_PUNC', 'RD_PUNC', 'QT_QTC')",36
368,"('QT_QTC', 'N_NN', 'V_VM_VINF')",35
369,"('N_NNP', 'N_NN', 'QT_QTC')",35
370,"('RD_SYM', 'PR_PRP', 'N_NN')",35
371,"('N_NN', 'V_VM_VNG', 'V_VM_VNF')",35
372,"('N_NNP', 'V_VM_VNF', 'N_NN')",35
373,"('PSP', 'V_VM_VNF', 'RD_PUNC')",35
374,"('V_VM_VNF', 'N_NN', 'V_VM_VNG')",35
375,"('N_NN', 'V_VM_VNF', 'QT_QTF')",34
376,"('CC_CCD', 'RD_PUNC', 'N_NN')",34
377,"('V_VM_VNF', 'QT_QTF', 'N_NN')",34
378,"('RB', 'JJ', 'N_NN')",34
379,"('PR_PRP', 'PSP', 'N_NN')",34
380,"('RD_PUNC', 'V_VM_VINF', 'N_NN')",34
381,"('PR_PRP', 'N_NN', 'N_NNP')",34
382,"('RD_PUNC', 'N_NN', 'DM_DMQ')",34
383,"('RP_RPD', 'N_NN', 'RD_PUNC')",34
384,"('N_NN', 'RD_PUNC', 'DM_DMQ')",34
385,"('RD_PUNC', 'N_NN', 'RP_RPD')",34
386,"('N_NN', 'RD_SYM', 'N_NNP')",34
387,"('V_VM_VINF', 'N_NST', 'N_NN')",33
388,"('N_NN', 'N_NN', 'RP_NEG')",33
389,"('DM_DMQ', 'RP_RPD', 'N_NN')",33
390,"('N_NN', 'RD_PUNC', 'V_VM_VF')",33
391,"('RD_PUNC', 'N_NN', 'RD_SYM')",33
392,"('V_VM_VNF', 'RD_PUNC', 'DM_DMQ')",33
393,"('N_NN', 'DM_DMQ', 'RD_PUNC')",33
394,"('DM_DMR', 'N_NST', 'N_NN')",33
395,"('N_NN', 'V_VM_VNF', 'PSP')",32
396,"('V_VM_VNF', 'N_NN', 'RP_RPD')",32
397,"('PR_PRP', 'V_VM_VNF', 'V_VM_VF')",32
398,"('N_NN', 'PR_PRP', 'RB')",32
399,"('CC_CCD', 'JJ', 'N_NN')",32
400,"('V_VM_VNF', 'V_VM_VNF', 'V_VAUX')",32
401,"('RP_INTF', 'N_NN', 'N_NN')",32
402,"('N_NNP', 'N_NN', 'JJ')",32
403,"('DM_DMQ', 'QT_QTC', 'N_NN')",31
404,"('N_NN', 'N_NN', 'CC_CCS_UT')",31
405,"('N_NN', 'PSP', 'QT_QTC')",31
406,"('N_NNP', 'CC_CCD', 'N_NN')",31
407,"('N_NN', 'QT_QTO', 'N_NN')",31
408,"('V_VM_VNF', 'RD_PUNC', 'QT_QTC')",31
409,"('N_NN', 'V_VM_VINF', 'QT_QTC')",31
410,"('N_NN', 'RP_INTF', 'V_VM_VF')",31
411,"('DM_DMD', 'N_NN', 'V_VM_VINF')",30
412,"('N_NN', 'PR_PRP', 'PR_PRP')",30
413,"('DM_DMD', 'N_NN', 'RB')",30
414,"('N_NNP', 'QT_QTC', 'N_NN')",30
415,"('V_VM_VNF', 'PR_PRP', 'RD_PUNC')",30
416,"('N_NN', 'N_NNP', 'V_VM_VF')",30
417,"('N_NNP', 'N_NN', 'PSP')",30
418,"('RB', 'V_VM_VNF', 'V_VAUX')",29
419,"('JJ', 'N_NN', 'QT_QTC')",29
420,"('N_NN', 'V_VM_VNF', 'V_VM_VNG')",29
421,"('N_NN', 'QT_QTC', 'V_VM_VNF')",29
422,"('V_VM_VNG', 'V_VM_VNF', 'RD_PUNC')",29
423,"('N_NNP', 'N_NN', 'PR_PRP')",29
424,"('DM_DMD', 'N_NN', 'N_NNP')",29
425,"('RD_PUNC', 'CC_CCS_UT', 'V_VM_VF')",29
426,"('CC_CCS_UT', 'N_NN', 'N_NN')",29
427,"('N_NN', 'QT_QTF', 'V_VM_VF')",28
428,"('N_NN', 'N_NST', 'V_VM_VINF')",28
429,"('PSP', 'RD_PUNC', 'N_NN')",28
430,"('RB', 'N_NN', 'V_VM_VINF')",28
431,"('DM_DMQ', 'V_VM_VNF', 'N_NN')",28
