,Tri_grams,Frequency
918,"('N_NN', 'PSP', 'RP_RPD')",9
919,"('PSP', 'QT_QTC', 'PSP')",9
920,"('RD_PUNC', 'N_NST', 'RB')",9
921,"('QT_QTC', 'N_NN', 'QT_QTF')",9
922,"('N_NN', 'DM_DMQ', 'RB')",9
923,"('DM_DMR', 'RB', 'N_NN')",9
924,"('N_NN', 'PSP', 'DM_DMQ')",9
925,"('PSP', 'DM_DMQ', 'N_NN')",9
926,"('PSP', 'PR_PRP', 'V_VM_VNF')",9
927,"('N_NN', 'RP_RPD', 'N_NST')",9
928,"('RP_RPD', 'N_NST', 'N_NN')",9
929,"('QT_QTF', 'V_VM_VNF', 'N_NN')",9
930,"('RD_SYM', 'CC_CCD', 'N_NN')",9
931,"('RD_PUNC', 'RB', 'V_VM_VINF')",9
932,"('V_VM_VINF', 'RB', 'V_VM_VF')",9
933,"('RP_INTF', 'V_VM_VNF', 'RD_PUNC')",9
934,"('DM_DMD', 'RB', 'V_VM_VNF')",9
935,"('N_NN', 'V_VM_VNG', 'PR_PRP')",9
936,"('V_VM_VNF', 'RB', 'PR_PRP')",9
937,"('QT_QTC', 'PSP', 'V_VM_VNF')",9
938,"('V_VM_VNF', 'CC_CCD', 'PR_PRP')",9
939,"('RP_RPD', 'DM_DMR', 'N_NN')",9
940,"('V_VM_VNF', 'QT_QTF', 'V_VM_VNF')",9
941,"('V_VM_VINF', 'V_VM_VNF', 'RD_PUNC')",9
942,"('RD_PUNC', 'V_VM_VNF', 'V_VM_VF')",9
943,"('N_NST', 'N_NNP', 'RD_PUNC')",9
944,"('QT_QTO', 'N_NN', 'PSP')",9
945,"('RD_PUNC', 'CC_CCD', 'QT_QTC')",9
946,"('N_NN', 'JJ', 'N_NNP')",9
947,"('V_VM_VNF', 'N_NST', 'PR_PRP')",9
948,"('PR_PRP', 'RD_PUNC', 'QT_QTC')",9
949,"('PR_PRP', 'RB', 'V_VM_VINF')",9
950,"('V_VM_VNF', 'RD_SYM', 'QT_QTC')",9
951,"('N_NST', 'N_NN', 'RD_SYM')",9
952,"('N_NNP', 'N_NNP', 'RD_SYM')",9
953,"('N_NNP', 'CC_CCD', 'N_NNP')",9
954,"('RD_PUNC', 'PSP', 'V_VM_VINF')",9
955,"('V_VM_VNF', 'RD_PUNC', 'RP_INJ')",9
956,"('N_NN', 'N_NNP', 'RB')",9
957,"('V_VM_VINF', 'N_NNP', 'RD_PUNC')",9
958,"('CC_CCD', 'N_NNP', 'N_NN')",9
959,"('N_NN', 'V_VM_VINF', 'DM_DMR')",9
960,"('RD_SYM', 'N_NN', 'PSP')",9
961,"('N_NN', 'QT_QTC', 'PR_PRP')",9
962,"('V_VM_VNF', 'RB', 'V_VM_VINF')",9
963,"('N_NN', 'V_VM_VINF', 'DM_DMD')",9
964,"('DM_DMQ', 'RP_RPD', 'DM_DMD')",9
965,"('CC_CCD', 'RB', 'V_VM_VF')",9
966,"('PSP', 'N_NN', 'JJ')",9
967,"('PR_PRP', 'PR_PRP', 'RB')",9
968,"('N_NNP', 'RD_PUNC', 'RB')",9
969,"('QT_QTF', 'V_VM_VNF', 'RD_PUNC')",9
970,"('PSP', 'N_NST', 'V_VM_VNF')",9
971,"('PSP', 'N_NST', 'N_NN')",9
972,"('RP_NEG', 'N_NN', 'N_NN')",9
973,"('DM_DMQ', 'N_NN', 'QT_QTC')",9
974,"('N_NN', 'RP_NEG', 'V_VM_VNF')",9
975,"('V_VM_VNF', 'RP_RPD', 'V_VM_VNF')",9
976,"('RD_PUNC', 'JJ', 'RD_PUNC')",9
977,"('PR_PRP', 'PSP', 'PR_PRP')",9
978,"('V_VM_VNF', 'RD_PUNC', 'RD_SYM')",9
979,"('V_VM_VNF', 'CC_CCS_UT', 'V_VM_VF')",9
980,"('QT_QTO', 'N_NN', 'V_VM_VF')",9
981,"('V_VM_VINF', 'PR_PRP', 'PR_PRP')",9
982,"('RD_PUNC', 'RD_SYM', 'N_NNP')",9
983,"('CC_CCS', 'RD_PUNC', 'N_NN')",9
984,"('RP_RPD', 'RD_PUNC', 'RD_PUNC')",9
985,"('RD_PUNC', 'RD_SYM', 'PR_PRP')",9
986,"('CC_CCS', 'N_NN', 'V_VM_VNF')",8
987,"('RD_PUNC', 'N_NST', 'RD_PUNC')",8
988,"('N_NN', 'RP_RPD', 'QT_QTF')",8
989,"('N_NST', 'V_VM_VNF', 'N_NST')",8
990,"('QT_QTC', 'N_NN', 'DM_DMD')",8
991,"('RB', 'PR_PRP', 'V_VM_VNF')",8
992,"('PSP', 'DM_DMR', 'N_NN')",8
993,"('DM_DMR', 'N_NN', 'RP_RPD')",8
994,"('V_VM_VINF', 'N_NN', 'CC_CCD')",8
995,"('N_NST', 'RB', 'V_VM_VNF')",8
996,"('QT_QTC', 'RB', 'N_NN')",8
997,"('DM_DMQ', 'RP_RPD', 'JJ')",8
998,"('PR_PRP', 'N_NN', 'DM_DMR')",8
999,"('V_VM_VNG', 'PR_PRP', 'N_NN')",8
1000,"('QT_QTF', 'N_NN', 'PR_PRP')",8
1001,"('RB', 'V_VM_VNF', 'DM_DMQ')",8
1002,"('V_VM_VNF', 'RD_PUNC', 'CC_CCS')",8
1003,"('RP_RPD', 'DM_DMQ', 'N_NN')",8
1004,"('RB', 'N_NN', 'QT_QTC')",8
1005,"('V_VM_VNG', 'N_NN', 'V_VM_VNF')",8
1006,"('CC_CCD', 'RB', 'V_VM_VNF')",8
1007,"('RD_PUNC', 'N_NNP', 'V_VM_VF')",8
1008,"('PR_PRP', 'N_NNP', 'N_NNP')",8
1009,"('N_NNP', 'N_NNP', 'QT_QTC')",8
1010,"('N_NNP', 'RD_PUNC', 'DM_DMD')",8
1011,"('N_NN', 'RD_PUNC', 'CC_CCS')",8
1012,"('RB', 'RB', 'V_VM_VNF')",8
1013,"('DM_DMQ', 'N_NN', 'PR_PRP')",8
1014,"('RD_UNK', 'RD_PUNC', 'RD_UNK')",8
1015,"('V_VM_VNF', 'V_VM_VNF', 'RD_SYM')",8
1016,"('RD_PUNC', 'RB', 'PR_PRP')",8
1017,"('N_NNP', 'N_NN', 'CC_CCD')",8
1018,"('JJ', 'N_NN', 'RP_INTF')",8
1019,"('RP_RPD', 'N_NN', 'V_VM_VINF')",8
1020,"('N_NN', 'RD_PUNC', 'RP_INTF')",8
1021,"('N_NN', 'CC_CCD', 'N_NNP')",8
1022,"('PR_PRP', 'JJ', 'RB')",8
1023,"('JJ', 'N_NN', 'DM_DMD')",8
1024,"('N_NNP', 'PSP', 'V_VM_VINF')",8
1025,"('V_VM_VNF', 'JJ', 'JJ')",8
1026,"('RD_SYM', 'N_NN', 'PR_PRP')",8
1027,"('N_NN', 'RB', 'PSP')",8
1028,"('RP_RPD', 'RD_PUNC', 'N_NNP')",8
1029,"('V_VM_VNF', 'RD_SYM', 'PR_PRP')",8
1030,"('N_NN', 'CC_CCD', 'RB')",8
1031,"('QT_QTC', 'N_NNP', 'N_NN')",8
1032,"('RD_PUNC', 'PR_PRP', 'DM_DMQ')",8
1033,"('DM_DMQ', 'V_VM_VNF', 'V_VAUX')",8
1034,"('CC_CCS_UT', 'V_VM_VNF', 'RD_PUNC')",8
1035,"('N_NST', 'V_VM_VNF', 'JJ')",8
1036,"('PR_PRP', 'PSP', 'V_VM_VNF')",8
1037,"('DM_DMQ', 'RP_RPD', 'RD_PUNC')",8
1038,"('V_VM_VNF', 'PR_PRP', 'QT_QTF')",8
1039,"('QT_QTF', 'RB', 'V_VM_VNF')",8
1040,"('N_NST', 'QT_QTF', 'N_NN')",8
1041,"('RD_PUNC', 'RD_SYM', 'V_VM_VNF')",8
1042,"('PR_PRP', 'QT_QTC', 'QT_QTC')",8
1043,"('QT_QTC', 'RD_PUNC', 'N_NST')",8
1044,"('PR_PRP', 'RP_INTF', 'RB')",8
1045,"('PR_PRP', 'RD_SYM', 'N_NN')",8
1046,"('PSP', 'N_NN', 'RD_SYM')",8
1047,"('RB', 'V_VM_VNF', 'RP_RPD')",8
1048,"('JJ', 'N_NN', 'RP_NEG')",8
1049,"('V_VM_VNF', 'N_NN', 'RP_NEG')",8
1050,"('N_NN', 'PR_PRP', 'RP_RPD')",8
1051,"('PR_PRP', 'N_NN', 'RP_NEG')",8
1052,"('DM_DMQ', 'V_VM_VNF', 'V_VM_VF')",8
1053,"('PR_PRP', 'N_NN', 'CC_CCS_UT')",8
1054,"('N_NNP', 'DM_DMQ', 'RD_PUNC')",8
1055,"('RD_PUNC', 'PR_PRP', 'PSP')",8
1056,"('RP_NEG', 'N_NN', 'V_VM_VF')",8
1057,"('V_VM_VNF', 'RP_NEG', 'RD_PUNC')",8
1058,"('V_VM_VNF', 'V_VM_VNF', 'CC_CCS_UT')",8
1059,"('RD_SYM', 'QT_QTC', 'PSP')",8
1060,"('DM_DMD', 'N_NN', 'DM_DMD')",7
1061,"('PSP', 'RP_RPD', 'N_NN')",7
1062,"('RP_RPD', 'RB', 'V_VM_VF')",7
1063,"('N_NN', 'QT_QTF', 'JJ')",7
1064,"('RP_RPD', 'V_VM_VNF', 'V_VM_VF')",7
1065,"('V_VM_VINF', 'N_NN', 'V_VM_VNG')",7
1066,"('V_VM_VINF', 'PR_PRP', 'V_VM_VF')",7
1067,"('N_NN', 'N_NST', 'V_VM_VNG')",7
1068,"('RP_INTF', 'N_NN', 'RB')",7
1069,"('RB', 'N_NN', 'RP_RPD')",7
1070,"('V_VM_VNF', 'RP_RPD', 'V_VM_VF')",7
1071,"('RB', 'V_VM_VNG', 'V_VM_VNF')",7
1072,"('RP_RPD', 'RB', 'N_NN')",7
1073,"('V_VM_VNF', 'DM_DMQ', 'V_VM_VF')",7
1074,"('DM_DMR', 'RB', 'V_VM_VF')",7
1075,"('N_NN', 'QT_QTF', 'QT_QTC')",7
1076,"('RB', 'V_VM_VNF', 'CC_CCD')",7
1077,"('CC_CCS', 'N_NN', 'RD_PUNC')",7
1078,"('N_NN', 'DM_DMR', 'RB')",7
1079,"('DM_DMR', 'N_NN', 'CC_CCD')",7
1080,"('N_NN', 'RP_RPD', 'V_VM_VINF')",7
1081,"('RP_RPD', 'V_VM_VINF', 'N_NN')",7
1082,"('V_VM_VINF', 'N_NST', 'PR_PRP')",7
1083,"('N_NST', 'N_NN', 'DM_DMQ')",7
1084,"('RD_PUNC', 'N_NN', 'CC_CCS')",7
1085,"('RB', 'N_NN', 'JJ')",7
1086,"('RD_SYM', 'N_NN', 'N_NNP')",7
1087,"('V_VM_VNG', 'PSP', 'RD_PUNC')",7
1088,"('PSP', 'RD_PUNC', 'N_NNP')",7
1089,"('CC_CCD', 'RD_PUNC', 'N_NNP')",7
1090,"('N_NN', 'QT_QTC', 'RP_RPD')",7
1091,"('N_NNP', 'RD_PUNC', 'N_NST')",7
1092,"('N_NNP', 'PSP', 'V_VM_VF')",7
1093,"('RB', 'N_NNP', 'RD_PUNC')",7
1094,"('V_VM_VNF', 'QT_QTC', 'JJ')",7
1095,"('N_NNP', 'V_VM_VNF', 'N_NNP')",7
1096,"('N_NNP', 'N_NNP', 'CC_CCD')",7
1097,"('V_VM_VNF', 'V_VM_VNF', 'N_NNP')",7
1098,"('N_NNP', 'PR_PRP', 'V_VM_VF')",7
1099,"('PR_PRP', 'V_VM_VNF', 'N_NNP')",7
1100,"('RP_INTF', 'N_NN', 'V_VM_VINF')",7
1101,"('CC_CCS_UT', 'N_NN', 'V_VM_VINF')",7
1102,"('N_NST', 'QT_QTC', 'QT_QTC')",7
1103,"('RD_PUNC', 'V_VM_VNF', 'QT_QTC')",7
1104,"('N_NNP', 'V_VM_VNF', 'V_VM_VF')",7
1105,"('QT_QTF', 'N_NN', 'JJ')",7
1106,"('N_NNP', 'RB', 'V_VM_VNF')",7
1107,"('PR_PRP', 'N_NST', 'PR_PRP')",7
1108,"('V_VM_VNF', 'RB', 'RD_PUNC')",7
1109,"('QT_QTC', 'QT_QTC', 'PSP')",7
1110,"('N_NN', 'V_VM_VNG', 'RP_INTF')",7
1111,"('PSP', 'N_NNP', 'N_NNP')",7
1112,"('N_NN', 'N_NNP', 'V_VM_VINF')",7
1113,"('N_NNP', 'N_NN', 'QT_QTF')",7
1114,"('N_NN', 'CC_CCS_UT', 'PR_PRP')",7
1115,"('N_NN', 'N_NST', 'N_NST')",7
1116,"('RP_RPD', 'RD_PUNC', 'V_VM_VNF')",7
1117,"('N_NST', 'N_NN', 'QT_QTF')",7
1118,"('DM_DMD', 'N_NST', 'PR_PRP')",7
1119,"('V_VM_VNF', 'V_VM_VINF', 'PR_PRP')",7
1120,"('V_VM_VINF', 'RD_PUNC', 'N_NNP')",7
1121,"('N_NN', 'RB', 'DM_DMD')",7
1122,"('PR_PRP', 'PR_PRP', 'RD_PUNC')",7
1123,"('RD_PUNC', 'V_VM_VNF', 'V_VAUX')",7
1124,"('V_VM_VNF', 'RD_SYM', 'RD_PUNC')",7
1125,"('CC_CCD', 'PR_PRP', 'JJ')",7
1126,"('PR_PRP', 'V_VM_VNF', 'RP_RPD')",7
1127,"('RD_PUNC', 'RP_INTF', 'N_NN')",7
1128,"('V_VM_VNF', 'N_NST', 'PSP')",7
1129,"('N_NN', 'JJ', 'QT_QTC')",7
1130,"('N_NN', 'RP_RPD', 'N_NNP')",7
1131,"('CC_CCD', 'N_NN', 'N_NST')",7
1132,"('N_NN', 'V_VM_VINF', 'V_VM_VINF')",7
1133,"('QT_QTO', 'N_NN', 'QT_QTC')",7
1134,"('V_VM_VNF', 'PR_PRP', 'DM_DMD')",7
1135,"('RD_PUNC', 'PR_PRP', 'RP_RPD')",7
1136,"('RB', 'DM_DMQ', 'N_NN')",7
1137,"('DM_DMQ', 'DM_DMR', 'N_NN')",7
1138,"('CC_CCD', 'QT_QTC', 'RD_PUNC')",7
1139,"('RD_PUNC', 'N_NN', 'DM_DMR')",7
1140,"('V_VM_VNF', 'V_VM_VNF', 'CC_CCD')",7
1141,"('V_VM_VNF', 'PR_PRP', 'DM_DMQ')",7
1142,"('V_VM_VNF', 'V_VM_VNF', 'DM_DMQ')",7
1143,"('PR_PRP', 'V_VM_VNF', 'DM_DMQ')",7
1144,"('PR_PRP', 'V_VM_VNF', 'DM_DMD')",7
1145,"('RD_PUNC', 'RB', 'QT_QTC')",7
1146,"('N_NN', 'N_NNP', 'QT_QTC')",7
1147,"('DM_DMQ', 'N_NN', 'DM_DMQ')",7
1148,"('RD_PUNC', 'CC_CCD', 'V_VM_VNF')",7
1149,"('PR_PRP', 'RD_PUNC', 'RD_PUNC')",7
1150,"('DM_DMQ', 'RD_PUNC', 'RD_PUNC')",7
1151,"('V_VM_VINF', 'QT_QTC', 'PSP')",7
1152,"('RD_PUNC', 'CC_CCD', 'N_NNP')",7
1153,"('V_VAUX', 'PR_PRP', 'N_NN')",6
1154,"('RD_SYM', 'N_NN', 'JJ')",6
1155,"('QT_QTC', 'RD_SYM', 'N_NST')",6
1156,"('QT_QTC', 'N_NN', 'V_VM_VNG')",6
1157,"('N_NST', 'RD_PUNC', 'N_NST')",6
1158,"('N_NN', 'JJ', 'V_VM_VNF')",6
1159,"('QT_QTC', 'RD_PUNC', 'DM_DMD')",6
1160,"('V_VM_VNG', 'RP_RPD', 'N_NN')",6
1161,"('N_NN', 'RP_RPD', 'DM_DMD')",6
1162,"('RP_CL', 'N_NN', 'RD_PUNC')",6
1163,"('PSP', 'RD_PUNC', 'QT_QTC')",6
1164,"('CC_CCD', 'N_NN', 'RD_SYM')",6
1165,"('N_NST', 'DM_DMR', 'N_NN')",6
1166,"('V_VM_VNF', 'N_NST', 'QT_QTC')",6
1167,"('V_VM_VNG', 'PSP', 'PR_PRP')",6
1168,"('DM_DMR', 'N_NN', 'V_VM_VNG')",6
1169,"('RB', 'V_VM_VNG', 'N_NN')",6
1170,"('JJ', 'N_NN', 'QT_QTF')",6
1171,"('CC_CCD', 'V_VM_VINF', 'N_NN')",6
1172,"('N_NN', 'RP_RPD', 'DM_DMR')",6
1173,"('RB', 'V_VM_VNG', 'V_VM_VF')",6
1174,"('V_VM_VNG', 'V_VM_VNF', 'V_VAUX')",6
1175,"('PR_PRP', 'PSP', 'V_VM_VF')",6
1176,"('PR_PRP', 'PR_PRP', 'V_VM_VF')",6
1177,"('RD_SYM', 'N_NN', 'RB')",6
1178,"('V_VM_VNG', 'V_VM_VNF', 'PR_PRP')",6
1179,"('N_NN', 'CC_CCD', 'QT_QTF')",6
1180,"('DM_DMR', 'N_NN', 'DM_DMD')",6
1181,"('DM_DMQ', 'N_NN', 'RB')",6
1182,"('QT_QTC', 'N_NN', 'RP_INTF')",6
1183,"('V_VM_VNF', 'V_VM_VNF', 'DM_DMR')",6
1184,"('PR_PRP', 'RD_PUNC', 'V_VM_VNF')",6
1185,"('V_VM_VINF', 'N_NN', 'DM_DMR')",6
1186,"('V_VM_VINF', 'N_NST', 'RD_PUNC')",6
1187,"('QT_QTC', 'PSP', 'JJ')",6
1188,"('DM_DMD', 'N_NST', 'QT_QTC')",6
1189,"('N_NN', 'DM_DMD', 'RB')",6
1190,"('RB', 'V_VM_VNG', 'RD_PUNC')",6
1191,"('RD_PUNC', 'JJ', 'JJ')",6
1192,"('N_NST', 'N_NST', 'N_NN')",6
1193,"('RD_PUNC', 'N_NNP', 'N_NST')",6
1194,"('N_NN', 'V_VM_VF', 'N_NNP')",6
1195,"('N_NNP', 'N_NNP', 'JJ')",6
1196,"('JJ', 'V_VM_VNF', 'RD_PUNC')",6
1197,"('N_NNP', 'PSP', 'N_NNP')",6
1198,"('V_VM_VNF', 'QT_QTO', 'N_NN')",6
1199,"('V_VM_VNF', 'PR_PRP', 'RP_INTF')",6
1200,"('N_NNP', 'RD_SYM', 'N_NNP')",6
1201,"('N_NN', 'RD_SYM', 'V_VM_VINF')",6
1202,"('QT_QTC', 'PSP', 'RD_PUNC')",6
1203,"('V_VM_VINF', 'N_NNP', 'N_NNP')",6
1204,"('DM_DMR', 'N_NN', 'N_NNP')",6
1205,"('PSP', 'N_NNP', 'RD_PUNC')",6
1206,"('PR_PRP', 'RB', 'RD_PUNC')",6
1207,"('RD_SYM', 'N_NNP', 'N_NNP')",6
1208,"('V_VM_VNF', 'PR_PRP', 'RP_RPD')",6
1209,"('N_NNP', 'PSP', 'V_VM_VNF')",6
1210,"('N_NST', 'N_NNP', 'N_NNP')",6
1211,"('N_NST', 'V_VM_VNF', 'RP_RPD')",6
1212,"('V_VM_VNG', 'RP_INTF', 'N_NN')",6
1213,"('PR_PRP', 'PSP', 'JJ')",6
1214,"('N_NNP', 'RB', 'RD_PUNC')",6
1215,"('CC_CCD', 'N_NNP', 'QT_QTC')",6
1216,"('N_NN', 'RD_SYM', 'N_NST')",6
1217,"('RP_RPD', 'N_NNP', 'N_NN')",6
1218,"('V_VM_VNF', 'RB', 'QT_QTC')",6
1219,"('PR_PRP', 'JJ', 'JJ')",6
1220,"('N_NN', 'PSP', 'RD_SYM')",6
1221,"('RD_PUNC', 'PSP', 'V_VM_VF')",6
1222,"('N_NNP', 'N_NN', 'RP_INTF')",6
1223,"('DM_DMQ', 'DM_DMQ', 'V_VM_VNF')",6
1224,"('V_VM_VNF', 'DM_DMQ', 'RP_RPD')",6
1225,"('RP_RPD', 'PR_PRP', 'PR_PRP')",6
1226,"('RB', 'QT_QTO', 'N_NN')",6
1227,"('RP_RPD', 'N_NN', 'RP_RPD')",6
1228,"('DM_DMD', 'RD_PUNC', 'N_NN')",6
1229,"('DM_DMQ', 'RP_RPD', 'V_VM_VNF')",6
1230,"('QT_QTF', 'V_VM_VNF', 'V_VM_VNF')",6
1231,"('PSP', 'V_VM_VNF', 'V_VM_VINF')",6
1232,"('N_NN', 'RB', 'RP_RPD')",6
1233,"('CC_CCD', 'N_NN', 'DM_DMQ')",6
1234,"('N_NN', 'DM_DMQ', 'JJ')",6
1235,"('JJ', 'QT_QTF', 'N_NN')",6
1236,"('DM_DMQ', 'N_NN', 'PSP')",6
1237,"('N_NN', 'N_NST', 'RD_SYM')",6
1238,"('RP_RPD', 'N_NN', 'JJ')",6
1239,"('PR_PRP', 'DM_DMQ', 'V_VM_VF')",6
1240,"('RD_SYM', 'PSP', 'N_NN')",6
1241,"('V_VM_VINF', 'V_VM_VINF', 'N_NN')",6
1242,"('PR_PRP', 'PR_PRP', 'V_VM_VINF')",6
1243,"('JJ', 'V_VM_VNF', 'N_NN')",6
1244,"('RP_RPD', 'RB', 'V_VM_VNF')",6
1245,"('RP_NEG', 'V_VM_VF', 'RD_PUNC')",6
1246,"('V_VM_VNF', 'JJ', 'RB')",6
1247,"('N_NN', 'RD_SYM', 'RB')",6
1248,"('V_VM_VNF', 'RP_INTF', 'V_VM_VF')",6
1249,"('N_NST', 'N_NST', 'V_VM_VNF')",6
1250,"('DM_DMR', 'N_NN', 'RP_INTF')",6
1251,"('N_NNP', 'N_NST', 'V_VM_VNF')",6
1252,"('RP_NEG', 'V_VM_VNF', 'RD_PUNC')",6
1253,"('N_NN', 'CC_CCS', 'RD_PUNC')",6
1254,"('DM_DMQ', 'DM_DMD', 'N_NN')",6
1255,"('CC_CCD', 'N_NN', 'V_VM_VNG')",6
1256,"('DM_DMR', 'N_NST', 'V_VM_VNF')",6
1257,"('V_VM_VNF', 'V_VM_VNG', 'PSP')",6
1258,"('V_VM_VNF', 'QT_QTC', 'RB')",6
1259,"('QT_QTC', 'QT_QTC', 'V_VM_VF')",6
1260,"('RB', 'N_NN', 'CC_CCD')",6
1261,"('RB', 'DM_DMR', 'N_NN')",6
1262,"('CC_CCS_UT', 'V_VM_VNF', 'V_VM_VF')",6
1263,"('PR_PRP', 'V_VM_VNF', 'QT_QTF')",6
1264,"('RD_PUNC', 'QT_QTO', 'N_NN')",6
1265,"('RP_INJ', 'RD_PUNC', 'N_NN')",6
1266,"('DM_DMR', 'N_NST', 'V_VM_VINF')",6
1267,"('CC_CCS_UT', 'PR_PRP', 'V_VM_VNF')",6
1268,"('V_VM_VNF', 'V_VM_VNG', 'V_VM_VF')",6
1269,"('RP_RPD', 'RP_INTF', 'N_NN')",5
1270,"('PR_PRP', 'PSP', 'RB')",5
1271,"('RD_SYM', 'QT_QTF', 'N_NN')",5
1272,"('QT_QTC', 'RD_SYM', 'V_VM_VNF')",5
1273,"('QT_QTF', 'RD_PUNC', 'N_NN')",5
1274,"('V_VM_VNG', 'N_NN', 'V_VM_VINF')",5
1275,"('RP_CL', 'N_NN', 'V_VM_VNF')",5
1276,"('DM_DMD', 'RB', 'V_VM_VINF')",5
1277,"('RD_SYM', 'N_NN', 'DM_DMQ')",5
1278,"('V_VM_VNF', 'V_VAUX', 'V_VM_VF')",5
1279,"('V_VM_VNF', 'N_NST', 'V_VM_VINF')",5
1280,"('V_VM_VNG', 'DM_DMQ', 'N_NN')",5
1281,"('CC_CCD', 'N_NN', 'RP_RPD')",5
1282,"('V_VM_VNF', 'V_VM_VNG', 'RD_PUNC')",5
1283,"('QT_QTO', 'N_NN', 'V_VM_VINF')",5
1284,"('V_VM_VINF', 'RB', 'N_NN')",5
1285,"('PSP', 'N_NN', 'RP_RPD')",5
1286,"('N_NN', 'PSP', 'RP_INTF')",5
1287,"('N_NN', 'PSP', 'CC_CCD')",5
1288,"('RD_SYM', 'RB', 'V_VM_VNF')",5
1289,"('V_VM_VNF', 'RD_SYM', 'N_NNP')",5
1290,"('CC_CCS', 'V_VM_VF', 'RD_PUNC')",5
1291,"('N_NN', 'PSP', 'RP_NEG')",5
1292,"('RD_PUNC', 'DM_DMQ', 'QT_QTC')",5
1293,"('PSP', 'N_NN', 'QT_QTF')",5
1294,"('DM_DMQ', 'RP_RPD', 'DM_DMQ')",5
1295,"('DM_DMR', 'RD_PUNC', 'N_NN')",5
1296,"('RB', 'N_NST', 'V_VM_VF')",5
1297,"('DM_DMQ', 'RP_RPD', 'DM_DMR')",5
1298,"('N_NST', 'RB', 'V_VM_VINF')",5
1299,"('N_NN', 'DM_DMD', 'N_NST')",5
1300,"('DM_DMQ', 'RP_RPD', 'QT_QTF')",5
1301,"('RP_RPD', 'N_NN', 'V_VM_VNG')",5
1302,"('RB', 'QT_QTC', 'RD_PUNC')",5
1303,"('V_VM_VINF', 'N_NST', 'V_VM_VNF')",5
1304,"('RD_PUNC', 'CC_CCS_UT', 'RD_PUNC')",5
1305,"('RD_PUNC', 'N_NNP', 'V_VM_VINF')",5
1306,"('PR_PRP', 'N_NNP', 'V_VM_VF')",5
1307,"('CC_CCD', 'PR_PRP', 'N_NNP')",5
1308,"('V_VM_VNF', 'PR_PRP', 'N_NNP')",5
1309,"('PR_PRP', 'V_VM_VINF', 'PR_PRP')",5
1310,"('N_NNP', 'N_NNP', 'PR_PRP')",5
1311,"('N_NNP', 'N_NST', 'V_VM_VF')",5
1312,"('N_NNP', 'PSP', 'RD_PUNC')",5
1313,"('CC_CCD', 'N_NN', 'N_NNP')",5
1314,"('QT_QTF', 'N_NN', 'N_NNP')",5
1315,"('RD_PUNC', 'N_NNP', 'RP_RPD')",5
1316,"('RD_UNK', 'RD_PUNC', 'N_NN')",5
1317,"('N_NN', 'V_VM_VNF', 'QT_QTO')",5
1318,"('N_NNP', 'PR_PRP', 'JJ')",5
1319,"('JJ', 'RB', 'RD_PUNC')",5
1320,"('PR_PRP', 'RP_INTF', 'V_VM_VF')",5
1321,"('RD_SYM', 'V_VM_VINF', 'N_NN')",5
1322,"('JJ', 'RD_PUNC', 'JJ')",5
1323,"('N_NN', 'N_NST', 'RP_RPD')",5
1324,"('N_NNP', 'N_NST', 'N_NNP')",5
1325,"('DM_DMD', 'N_NN', 'RP_INTF')",5
1326,"('RD_PUNC', 'DM_DMD', 'N_NST')",5
1327,"('RD_PUNC', 'RD_PUNC', 'RD_UNK')",5
1328,"('DM_DMD', 'N_NST', 'N_NNP')",5
1329,"('RP_RPD', 'RD_SYM', 'N_NN')",5
1330,"('N_NNP', 'QT_QTF', 'N_NN')",5
1331,"('N_NN', 'JJ', 'V_VM_VNG')",5
1332,"('PSP', 'N_NN', 'N_NNP')",5
1333,"('CC_CCD', 'N_NNP', 'V_VM_VF')",5
1334,"('RB', 'N_NST', 'V_VM_VNF')",5
1335,"('RD_PUNC', 'PR_PRP', 'DM_DMD')",5
1336,"('RD_UNK', 'RD_UNK', 'RD_PUNC')",5
1337,"('RD_PUNC', 'RP_INJ', 'N_NN')",5
1338,"('RP_INTF', 'N_NN', 'PSP')",5
1339,"('RD_PUNC', 'RP_INTF', 'JJ')",5
1340,"('PSP', 'V_VM_VNF', 'RP_INTF')",5
1341,"('RD_PUNC', 'V_VM_VNF', 'RB')",5
1342,"('PR_PRP', 'N_NST', 'V_VM_VINF')",5
1343,"('V_VM_VNF', 'V_VAUX', 'N_NNP')",5
1344,"('RD_SYM', 'V_VM_VNF', 'RD_PUNC')",5
1345,"('N_NNP', 'N_NN', 'RP_RPD')",5
1346,"('N_NST', 'V_VM_VNF', 'RD_SYM')",5
1347,"('RB', 'PSP', 'N_NN')",5
1348,"('CC_CCD', 'DM_DMQ', 'N_NN')",5
1349,"('CC_CCS_UT', 'QT_QTC', 'N_NN')",5
1350,"('N_NN', 'RD_SYM', 'DM_DMD')",5
1351,"('N_NNP', 'DM_DMR', 'N_NN')",5
1352,"('RB', 'N_NNP', 'N_NNP')",5
1353,"('PSP', 'RD_SYM', 'N_NN')",5
1354,"('QT_QTO', 'N_NN', 'N_NST')",5
1355,"('QT_QTC', 'PR_PRP', 'N_NN')",5
1356,"('RB', 'N_NN', 'PR_PRP')",5
1357,"('DM_DMQ', 'N_NN', 'RD_SYM')",5
1358,"('PR_PRP', 'PR_PRP', 'N_NST')",5
1359,"('V_VM_VINF', 'PR_PRP', 'RB')",5
1360,"('QT_QTF', 'PR_PRP', 'N_NN')",5
